attribution_id,conversion_id,campaign_id,attribution_model,attribution_percentage,attributed_revenue,touchpoint_position,days_from_first_touch,days_from_last_touch,channel_weight,interaction_type
1,1,41,First Touch,0.69,7696.64,8,36,3,0.1,Conversion
2,1,41,Last Touch,0.54,17798.48,3,206,17,0.69,Conversion
3,1,41,Linear,0.77,15633.800000000001,2,330,27,0.25,Click
4,1,41,Time Decay,0.75,3126.76,3,175,6,0.72,Click
5,1,41,Position Based,0.46,11304.439999999999,9,111,6,0.64,Conversion
6,2,50,First Touch,0.2,25703.3,8,35,10,0.77,Engagement
7,2,50,Last Touch,0.62,12675.6,10,94,7,0.75,Click
8,2,50,Linear,0.54,29928.5,5,22,6,0.68,Engagement
9,2,50,Time Decay,0.46,29224.3,7,149,5,0.73,Click
10,2,50,Position Based,0.97,4225.2,3,278,20,0.67,Engagement
11,3,49,First Touch,0.64,18006.66,10,63,30,0.76,Conversion
12,3,49,Last Touch,0.92,7744.8,9,35,29,0.87,Engagement
13,3,49,Linear,0.52,7551.18,2,281,27,0.19,Click
14,3,49,Time Decay,0.35,4840.5,5,148,13,0.2,View
15,3,49,Position Based,0.45,17619.420000000002,10,111,9,0.7,Conversion
16,4,41,First Touch,0.85,990.6400000000001,8,159,6,0.92,Click
17,4,41,Last Touch,0.99,1733.62,10,243,2,0.93,Engagement
18,4,41,Linear,0.7,2901.16,6,203,17,0.61,Conversion
19,4,41,Time Decay,0.39,2901.16,3,344,30,0.49,View
20,4,41,Position Based,0.34,530.6999999999999,4,313,6,0.99,Click
21,5,48,First Touch,0.36,6796.15,3,287,12,0.16,Click
22,5,48,Last Touch,0.19,13908.4,7,311,19,0.78,Click
23,5,48,Linear,0.81,7744.45,6,340,10,0.36,View
24,5,48,Time Decay,0.85,8060.55,3,68,11,0.76,Engagement
25,5,48,Position Based,0.73,15646.95,3,227,1,0.25,View
26,6,45,First Touch,0.95,14467.599999999999,3,48,23,0.58,Click
27,6,45,Last Touch,0.2,7647.16,4,140,11,0.6,Conversion
28,6,45,Linear,0.54,4133.6,5,230,22,0.82,Engagement
29,6,45,Time Decay,0.36,15294.32,7,6,21,0.56,Engagement
30,6,45,Position Based,0.95,19221.24,9,137,22,0.38,Click
31,7,9,First Touch,0.3,15341.7,7,113,15,0.39,Click
32,7,9,Last Touch,0.62,12552.300000000001,8,48,23,0.61,View
33,7,9,Linear,0.74,4649.0,4,167,17,0.44,Click
34,7,9,Time Decay,0.8,16271.499999999998,9,50,14,0.32,Click
35,7,9,Position Based,0.64,7205.95,7,10,19,0.16,View
36,8,13,First Touch,0.54,614.65,10,227,21,0.95,Engagement
37,8,13,Last Touch,0.37,491.72,5,283,8,0.19,Engagement
38,8,13,Linear,0.8,161.75,9,131,28,0.16,View
39,8,13,Time Decay,0.97,608.18,10,344,16,0.62,Conversion
40,8,13,Position Based,0.91,439.96000000000004,6,130,29,0.24,Engagement
41,9,31,First Touch,0.36,2535.4,5,245,2,0.15,Click
42,9,31,Last Touch,0.38,2354.3,1,89,13,0.65,Conversion
43,9,31,Linear,0.55,7425.099999999999,6,284,19,0.98,Engagement
44,9,31,Time Decay,0.33,9960.5,7,227,15,0.94,Click
45,9,31,Position Based,0.83,12133.7,6,159,3,0.17,Engagement
46,10,43,First Touch,0.7,28289.36,10,161,9,0.82,Engagement
47,10,43,Last Touch,0.84,23651.760000000002,2,57,14,0.9,Click
48,10,43,Linear,0.47,28289.36,5,241,28,0.19,Engagement
49,10,43,Time Decay,0.19,38955.84,8,306,30,0.34,Click
50,10,43,Position Based,0.33,35709.520000000004,8,329,30,0.39,Click
51,11,48,First Touch,0.41,18419.0,7,220,15,0.25,Engagement
52,11,48,Last Touch,0.71,27260.12,7,279,15,0.5,View
53,11,48,Linear,0.44,10683.019999999999,10,156,26,0.61,View
54,11,48,Time Decay,0.22,16577.100000000002,10,171,29,0.14,View
55,11,48,Position Based,0.98,35364.479999999996,9,288,19,0.44,Engagement
56,12,5,First Touch,0.57,4357.32,6,109,23,0.66,Engagement
57,12,5,Last Touch,0.49,28685.690000000002,5,97,4,0.96,View
58,12,5,Linear,0.99,30501.239999999998,1,13,21,0.86,Click
59,12,5,Time Decay,0.98,30501.239999999998,7,293,26,0.83,Conversion
60,12,5,Position Based,0.59,36311.0,4,124,29,0.55,Click
61,13,47,First Touch,0.14,10437.75,6,190,4,0.15,View
62,13,47,Last Touch,0.65,35070.84,7,302,15,1.0,Click
63,13,47,Linear,0.42,29225.699999999997,6,208,12,0.37,Engagement
64,13,47,Time Decay,0.98,35070.84,3,289,8,0.42,Conversion
65,13,47,Position Based,0.4,27138.15,5,292,24,0.31,Engagement
66,14,31,First Touch,0.17,7059.200000000001,3,34,24,0.19,Engagement
67,14,31,Last Touch,0.12,16589.12,5,214,4,0.14,View
68,14,31,Linear,0.48,8118.08,10,326,9,0.25,Engagement
69,14,31,Time Decay,0.8,34237.12,6,108,27,0.45,Click
70,14,31,Position Based,0.73,12000.640000000001,1,344,14,0.6,Conversion
71,15,30,First Touch,0.22,36161.58,3,70,5,0.13,Engagement
72,15,30,Last Touch,0.71,38016.02,7,295,19,0.17,Conversion
73,15,30,Linear,0.97,40334.07,6,228,29,0.22,Engagement
74,15,30,Time Decay,0.16,24107.72,7,3,12,0.15,Engagement
75,15,30,Position Based,0.21,31525.480000000003,10,118,22,0.31,View
76,16,26,First Touch,0.37,12616.8,8,237,15,0.19,Engagement
77,16,26,Last Touch,0.18,24873.12,3,202,9,0.21,Conversion
78,16,26,Linear,0.62,23431.2,6,10,12,0.44,View
79,16,26,Time Decay,0.52,26675.52,8,337,8,0.94,View
80,16,26,Position Based,0.87,9732.960000000001,9,313,22,0.1,Conversion
81,17,11,First Touch,0.83,5074.49,3,273,29,0.23,View
82,17,11,Last Touch,0.51,4853.86,9,97,9,0.88,View
83,17,11,Linear,0.15,9487.09,6,293,12,0.69,Engagement
84,17,11,Time Decay,0.79,5074.49,9,169,7,0.9,Click
85,17,11,Position Based,0.97,11252.130000000001,10,116,7,0.19,View
86,18,2,First Touch,0.72,13165.880000000001,10,230,18,0.95,Click
87,18,2,Last Touch,0.78,7053.15,9,238,18,0.77,Conversion
88,18,2,Linear,0.64,20219.03,2,168,2,0.92,Conversion
89,18,2,Time Decay,0.35,12695.67,5,42,4,0.73,Conversion
90,18,2,Position Based,0.86,31974.280000000002,4,121,2,0.28,Conversion
91,19,49,First Touch,0.63,38676.73,5,129,29,0.6,Conversion
92,19,49,Last Touch,0.92,12602.529999999999,4,95,6,0.96,View
93,19,49,Linear,0.83,23466.780000000002,3,179,22,0.32,Click
94,19,49,Time Decay,0.48,30854.469999999998,1,330,4,0.91,Engagement
95,19,49,Position Based,0.26,9560.54,8,335,18,0.82,Conversion
96,20,23,First Touch,0.96,518.3100000000001,5,107,10,0.57,Click
97,20,23,Last Touch,0.64,2671.29,3,42,18,0.73,View
98,20,23,Linear,0.46,956.88,1,267,1,0.32,View
99,20,23,Time Decay,0.97,956.88,3,50,7,0.32,Conversion
100,20,23,Position Based,0.69,2272.5899999999997,1,108,20,0.25,Conversion
101,21,25,First Touch,0.32,6802.0,10,240,21,0.26,Conversion
102,21,25,Last Touch,0.82,26850.0,6,75,4,0.13,Conversion
103,21,25,Linear,0.83,6444.0,8,304,11,0.69,Conversion
104,21,25,Time Decay,0.63,19332.0,8,22,13,0.97,Engagement
105,21,25,Position Based,0.22,5370.0,4,223,22,0.76,Engagement
106,22,17,First Touch,0.92,3369.7999999999997,8,234,17,0.85,View
107,22,17,Last Touch,0.78,4764.2,5,240,11,0.27,Engagement
108,22,17,Linear,0.17,6972.0,4,149,17,0.38,Engagement
109,22,17,Time Decay,0.97,2788.7999999999997,1,241,20,0.91,Engagement
