conversion_id,lead_id,campaign_id,conversion_type,conversion_date,conversion_value,revenue,customer_lifetime_value,conversion_path,attribution_model,touchpoints_count,days_to_conversion
1,1,41,Opportunity,2024-08-09,9759,24052,5718,Events -> Lead -> MQL,Linear,4,315
2,3,50,MQL,2024-12-03,5684,35210,74881,Influencer -> Lead -> MQL,Linear,4,219
3,14,49,Opportunity,2024-12-28,2013,19362,8553,Display -> Lead -> Customer,Last Touch,6,172
4,15,41,Upsell,2024-10-05,6814,3538,51535,Events -> Lead -> SQL,Position Based,8,332
5,18,48,Upsell,2023-07-17,7843,15805,39438,Social Media -> Lead -> SQL,Linear,9,13
6,21,45,Opportunity,2024-05-08,6258,20668,72168,Direct Mail -> Lead -> Upsell,Last Touch,4,36
7,25,9,Customer,2024-08-31,7118,23245,79969,Webinars -> Lead -> Upsell,Position Based,10,217
8,28,13,Customer,2024-10-27,4869,647,20894,SEO -> Lead -> Opportunity,First Touch,1,62
9,33,31,Upsell,2024-07-28,6673,18110,67912,Paid Search -> Lead -> MQL,Last Touch,4,331
10,35,43,SQL,2024-12-19,571,46376,27405,Social Media -> Lead -> Opportunity,Position Based,8,25
11,38,48,Lead,2024-04-01,4674,36838,32519,Social Media -> Lead -> Opportunity,Linear,7,353
12,41,5,MQL,2024-09-08,9929,36311,66662,Influencer -> Lead -> SQL,First Touch,4,146
13,42,47,Opportunity,2024-01-15,6175,41751,54340,Influencer -> Lead -> Lead,First Touch,3,271
14,44,31,SQL,2024-08-14,1489,35296,22710,Paid Search -> Lead -> MQL,Time Decay,5,360
15,47,30,Opportunity,2024-11-21,1864,46361,63064,Influencer -> Lead -> Lead,Position Based,4,251
16,48,26,Lead,2024-05-04,3808,36048,42219,SEO -> Lead -> MQL,Last Touch,4,163
17,50,11,Customer,2024-11-21,6901,22063,16903,Events -> Lead -> Opportunity,Position Based,7,113
18,55,2,Lead,2024-05-05,2904,47021,52102,Direct Mail -> Lead -> Upsell,Last Touch,10,286
19,57,49,SQL,2024-12-19,2996,43457,69621,Display -> Lead -> SQL,Linear,6,336
20,66,23,Lead,2024-12-18,5621,3987,57101,Webinars -> Lead -> MQL,First Touch,4,178
21,69,25,Opportunity,2024-12-06,3923,35800,77058,Direct Mail -> Lead -> Opportunity,Time Decay,8,83
22,71,17,SQL,2024-02-06,3685,11620,1819,Events -> Lead -> MQL,Last Touch,2,127
23,74,2,Lead,2024-05-26,2504,34729,29448,Direct Mail -> Lead -> Opportunity,Linear,4,212
24,76,24,Lead,2024-02-29,7510,35915,67861,SEO -> Lead -> MQL,Linear,2,216
25,90,21,Opportunity,2024-09-15,782,8102,34602,Influencer -> Lead -> Customer,Last Touch,9,203
26,91,14,Upsell,2024-07-31,3197,41069,93854,Social Media -> Lead -> Opportunity,Time Decay,7,74
27,98,16,Opportunity,2024-12-25,9114,14692,84603,Paid Search -> Lead -> SQL,First Touch,9,148
28,102,42,SQL,2024-11-04,8317,25463,28680,Direct Mail -> Lead -> SQL,Last Touch,5,156
29,104,4,Customer,2024-09-23,649,33590,76106,Email -> Lead -> Opportunity,Last Touch,5,248
30,105,29,SQL,2024-10-31,106,33742,77133,Influencer -> Lead -> Upsell,First Touch,2,19
31,109,23,SQL,2024-12-21,3522,46317,32171,Webinars -> Lead -> Opportunity,Time Decay,10,225
32,113,23,Customer,2024-12-26,8298,29655,36819,Webinars -> Lead -> Opportunity,Position Based,7,160
33,115,10,Upsell,2023-05-01,4977,44304,63122,Social Media -> Lead -> Customer,Linear,8,34
34,117,33,Customer,2024-09-12,3429,26272,67337,Display -> Lead -> Lead,First Touch,8,274
35,121,22,SQL,2024-07-07,5114,38541,30001,Display -> Lead -> Upsell,Position Based,4,318
36,131,5,Customer,2024-07-08,7710,33753,94384,Influencer -> Lead -> Upsell,Position Based,8,230
37,132,26,Customer,2023-10-10,508,16153,14534,SEO -> Lead -> Upsell,Last Touch,7,313
38,133,16,Opportunity,2024-09-04,8837,14361,6892,Paid Search -> Lead -> Upsell,First Touch,4,290
39,134,11,Customer,2024-08-02,6115,38412,4768,Events -> Lead -> Upsell,Last Touch,10,53
40,136,10,SQL,2024-02-02,2215,47349,95933,Social Media -> Lead -> MQL,Linear,1,182
41,140,12,MQL,2024-01-12,8913,35610,72292,Events -> Lead -> Opportunity,Linear,9,14
42,145,18,SQL,2024-12-07,9261,24377,44416,Webinars -> Lead -> MQL,Position Based,2,134
43,148,7,Upsell,2024-09-29,4514,19424,21170,Influencer -> Lead -> Customer,Time Decay,7,80
44,150,4,Customer,2024-11-29,210,32953,13798,Email -> Lead -> Customer,Time Decay,7,128
45,158,27,Customer,2024-05-05,8658,13267,14250,SEO -> Lead -> SQL,Position Based,3,281
46,165,45,Upsell,2024-03-28,5858,4780,73675,Direct Mail -> Lead -> Upsell,Time Decay,6,320
47,173,4,Opportunity,2024-12-23,1109,19460,80721,Email -> Lead -> Upsell,Time Decay,9,173
48,180,32,Lead,2024-02-04,3542,20349,36742,Influencer -> Lead -> MQL,Last Touch,8,7
49,181,35,Lead,2024-12-02,2675,49170,84413,Events -> Lead -> Upsell,Last Touch,10,74
50,183,25,MQL,2024-10-02,8376,26851,64282,Direct Mail -> Lead -> Opportunity,Position Based,10,69
51,187,36,SQL,2024-12-07,2602,46604,12908,Direct Mail -> Lead -> MQL,First Touch,6,51
52,195,11,Lead,2024-11-12,7079,6674,4780,Events -> Lead -> MQL,First Touch,6,38
53,198,25,Opportunity,2024-11-08,166,46441,22220,Direct Mail -> Lead -> Opportunity,Linear,1,269
54,201,39,Customer,2024-01-26,6206,48671,95029,Content Marketing -> Lead -> SQL,First Touch,7,105
55,206,8,Upsell,2024-05-16,8530,22956,36186,Influencer -> Lead -> Customer,Position Based,8,99
56,210,9,Lead,2024-07-14,586,7808,99344,Webinars -> Lead -> Lead,Linear,4,71
57,211,39,Opportunity,2023-08-10,7813,20623,91275,Content Marketing -> Lead -> Lead,Position Based,2,343
58,216,33,Upsell,2024-11-02,7739,18403,66033,Display -> Lead -> Opportunity,Last Touch,2,343
59,219,27,Lead,2024-11-06,4187,26513,64607,SEO -> Lead -> Customer,First Touch,2,206
60,220,49,Upsell,2024-12-29,4277,6452,90538,Display -> Lead -> Upsell,Position Based,2,153
61,222,9,Lead,2023-11-19,6309,2118,25012,Webinars -> Lead -> MQL,Last Touch,1,249
62,230,42,Customer,2024-04-23,5499,13521,38814,Direct Mail -> Lead -> Opportunity,Last Touch,9,136
63,236,34,Customer,2024-10-25,9139,42290,69957,Events -> Lead -> SQL,Linear,3,32
64,241,19,Opportunity,2024-07-18,9624,38547,6532,Influencer -> Lead -> Opportunity,Time Decay,4,10
65,244,10,MQL,2024-06-12,5533,25900,41298,Social Media -> Lead -> SQL,Position Based,9,328
66,251,1,SQL,2024-05-30,3682,47402,23017,Display -> Lead -> SQL,First Touch,4,266
67,253,23,Lead,2024-12-27,4403,3250,58246,Webinars -> Lead -> MQL,Position Based,8,104
68,254,43,MQL,2023-10-12,2823,44527,53092,Social Media -> Lead -> Lead,Last Touch,10,144
69,258,6,Upsell,2024-10-31,5208,14673,35686,SEO -> Lead -> Customer,First Touch,10,267
70,266,44,SQL,2024-12-27,9521,18605,44615,Influencer -> Lead -> Opportunity,First Touch,9,267
71,267,48,Customer,2023-07-01,5724,38989,60760,Social Media -> Lead -> Customer,Position Based,3,245
72,270,12,Lead,2023-12-02,1826,6088,97036,Events -> Lead -> Lead,Time Decay,7,36
73,274,39,MQL,2024-01-31,4004,26711,41459,Content Marketing -> Lead -> Upsell,Linear,2,259
74,278,40,Lead,2024-10-19,9858,42295,46637,Email -> Lead -> Opportunity,Time Decay,6,336
75,285,14,SQL,2024-12-27,7377,30771,99080,Social Media -> Lead -> Opportunity,First Touch,2,6
76,290,25,SQL,2024-12-10,4551,45960,83409,Direct Mail -> Lead -> Upsell,Time Decay,8,59
77,292,3,SQL,2023-10-23,7689,11262,29962,Influencer -> Lead -> Opportunity,Time Decay,5,252
78,302,28,Lead,2024-12-27,5061,35064,94795,Display -> Lead -> SQL,Time Decay,6,146
79,308,3,SQL,2023-08-11,5740,43262,42529,Influencer -> Lead -> SQL,Time Decay,1,315
80,309,9,Lead,2024-05-03,7441,30142,74956,Webinars -> Lead -> MQL,Last Touch,7,258
81,314,33,SQL,2024-12-08,1564,10858,25188,Display -> Lead -> MQL,Time Decay,7,215
82,315,41,MQL,2024-07-31,497,15971,96668,Events -> Lead -> Opportunity,Position Based,10,273
83,325,34,SQL,2024-10-17,3950,44844,34606,Events -> Lead -> Upsell,Time Decay,2,338
84,328,9,Customer,2024-12-12,3912,49604,88634,Webinars -> Lead -> Upsell,Last Touch,2,157
85,334,6,Opportunity,2024-09-10,2689,11869,17926,SEO -> Lead -> Opportunity,Last Touch,8,220
86,340,40,Upsell,2024-02-14,6149,11007,49036,Email -> Lead -> Opportunity,First Touch,6,214
87,341,19,Lead,2024-05-04,7623,13389,68834,Influencer -> Lead -> Upsell,Position Based,9,289
88,344,7,Customer,2024-08-08,9159,35470,40762,Influencer -> Lead -> Lead,Linear,9,337
89,345,29,Lead,2023-11-24,9996,12048,83601,Influencer -> Lead -> Opportunity,First Touch,7,34
90,352,5,Lead,2024-08-29,4212,27313,83843,Influencer -> Lead -> Lead,Position Based,3,189
91,353,29,Opportunity,2023-11-15,5926,32325,64505,Influencer -> Lead -> Opportunity,Time Decay,5,169
92,354,34,Lead,2024-09-18,5056,19070,51344,Events -> Lead -> Lead,Linear,10,173
93,361,40,MQL,2024-10-11,3815,13720,36421,Email -> Lead -> MQL,Linear,5,226
94,373,37,Lead,2024-10-15,7432,30678,92452,Events -> Lead -> Lead,Last Touch,3,48
95,383,27,Customer,2024-06-23,3207,37679,11060,SEO -> Lead -> Upsell,Linear,8,257
96,386,41,MQL,2024-12-08,3092,17721,49823,Events -> Lead -> SQL,Linear,6,32
97,388,28,Upsell,2024-12-23,3813,2916,90824,Display -> Lead -> SQL,Linear,2,308
98,390,35,Lead,2024-09-15,9325,30876,20284,Events -> Lead -> SQL,Last Touch,2,53
99,392,45,Lead,2024-02-22,4078,5605,33260,Direct Mail -> Lead -> SQL,First Touch,3,244
100,393,36,SQL,2024-10-15,2601,4700,65489,Direct Mail -> Lead -> Opportunity,Position Based,3,67
101,400,32,Customer,2024-03-01,6241,2448,28572,Influencer -> Lead -> SQL,First Touch,6,72
102,401,49,Customer,2024-12-30,150,19089,17996,Display -> Lead -> Lead,Time Decay,6,310
103,406,30,Opportunity,2024-12-22,517,48709,84655,Influencer -> Lead -> Opportunity,Last Touch,1,222
104,411,9,Opportunity,2024-01-18,2459,26262,69424,Webinars -> Lead -> Lead,Linear,6,207
105,413,27,Customer,2024-06-21,5799,5447,54900,SEO -> Lead -> MQL,First Touch,1,344
106,421,43,Opportunity,2024-02-19,1788,10719,47480,Social Media -> Lead -> Opportunity,Linear,9,128
107,423,4,SQL,2024-10-27,9654,42234,62042,Email -> Lead -> Upsell,Last Touch,9,152
108,425,17,MQL,2023-10-09,1550,718,60379,Events -> Lead -> Upsell,Position Based,5,254
109,430,35,Lead,2024-12-10,469,38356,78273,Events -> Lead -> SQL,Last Touch,9,332
110,431,14,Lead,2024-01-19,4280,29249,30510,Social Media -> Lead -> Opportunity,Linear,7,102
111,434,38,Opportunity,2024-10-10,5841,26091,84794,Direct Mail -> Lead -> Lead,Last Touch,5,267
112,435,19,Upsell,2024-07-04,2099,33096,2590,Influencer -> Lead -> SQL,Position Based,8,105
113,439,12,Customer,2024-02-22,9435,16871,20183,Events -> Lead -> Opportunity,Time Decay,7,155
114,442,22,Opportunity,2023-12-31,6444,33268,12229,Display -> Lead -> Opportunity,Position Based,5,133
115,453,33,Lead,2024-09-20,7838,20342,41828,Display -> Lead -> Upsell,Linear,8,85
116,455,30,Opportunity,2024-06-16,6539,1838,19982,Influencer -> Lead -> Lead,Last Touch,2,294
117,456,4,Lead,2024-11-09,1152,48577,96921,Email -> Lead -> Upsell,Position Based,9,117
