journey_id,lead_id,current_stage,stage_progression,total_stages,days_in_stage,touchpoints_count,channels_used,content_consumed,engagement_score,next_expected_action,predicted_conversion_probability,last_stage_change
1,1,Evaluation,5,7,21,4,5,18,0.81,Form Submit,0.37,2024-10-07
2,2,Evaluation,5,7,29,11,1,14,0.74,Website Visit,0.26,2024-06-05
3,3,Purchase,6,7,47,10,5,12,0.43,Form Submit,0.27,2024-12-08
4,4,Interest,2,7,19,14,3,11,0.21,Call,0.85,2024-12-17
5,5,Evaluation,5,7,66,14,3,15,0.85,Purchase,0.15,2023-12-02
6,6,Purchase,6,7,69,11,3,11,0.29,Purchase,0.32,2024-04-07
7,7,Intent,4,7,84,12,3,5,0.21,Call,0.21,2024-07-14
8,8,Purchase,6,7,48,15,3,11,0.32,Call,0.28,2024-05-26
9,9,Retention,7,7,56,10,5,2,0.39,Email Open,0.49,2024-09-11
10,10,Purchase,6,7,85,5,2,4,0.98,Form Submit,0.51,2024-12-13
11,11,Evaluation,5,7,25,3,5,16,0.87,Website Visit,0.51,2024-12-02
12,12,Purchase,6,7,53,3,3,19,0.94,Website Visit,0.47,2024-10-24
13,13,Awareness,1,7,66,5,5,19,0.59,Form Submit,0.37,2024-08-02
14,14,Consideration,3,7,8,10,5,17,0.63,Email Open,0.79,2024-12-24
15,15,Retention,7,7,50,1,2,12,0.34,Website Visit,0.34,2024-10-23
16,16,Consideration,3,7,1,3,4,6,0.85,Email Open,0.27,2024-12-19
17,17,Interest,2,7,20,4,2,13,0.68,Purchase,0.89,2024-04-25
18,18,Consideration,3,7,90,8,3,6,0.97,Form Submit,0.29,2024-02-15
19,19,Retention,7,7,77,11,1,14,0.64,Email Open,0.36,2024-12-02
20,20,Evaluation,5,7,1,2,1,11,0.17,Form Submit,0.27,2024-06-12
21,21,Consideration,3,7,51,9,2,11,0.9,Purchase,0.18,2024-11-26
22,22,Evaluation,5,7,65,9,5,20,0.58,Website Visit,0.31,2024-05-25
23,23,Retention,7,7,44,9,1,19,0.99,Call,0.83,2024-05-20
24,24,Interest,2,7,55,12,4,20,0.45,Purchase,0.38,2024-03-22
25,25,Consideration,3,7,51,10,2,0,0.74,Email Open,0.88,2024-07-26
26,26,Consideration,3,7,29,12,3,14,0.63,Email Open,0.67,2024-03-30
27,27,Interest,2,7,20,5,1,0,0.25,Call,0.68,2024-11-27
28,28,Consideration,3,7,29,14,4,2,0.14,Purchase,0.3,2024-10-06
29,29,Intent,4,7,74,5,5,5,0.8,Purchase,0.57,2024-12-25
30,30,Awareness,1,7,49,14,2,19,0.82,Website Visit,0.15,2024-07-09
31,31,Consideration,3,7,76,6,1,18,0.41,Form Submit,0.25,2024-12-24
