commission_id,deal_id,rep_id,deal_value,commission_rate,commission_amount,payment_date,status,payment_method,tax_withheld
1,1,33,308685,0.059,18212.414999999997,2025-11-23,Pending,Direct Deposit,4553.103749999999
2,2,1,211480,0.123,26012.04,2024-02-11,Pending,Wire Transfer,6503.01
3,3,29,348965,0.084,29313.06,2024-02-05,Disputed,Direct Deposit,7328.265
4,4,9,214783,0.072,15464.375999999998,2025-10-20,Disputed,Wire Transfer,3866.0939999999996
5,5,44,352409,0.113,39822.217000000004,2025-04-11,Pending,Check,9955.554250000001
6,6,43,409635,0.074,30312.989999999998,2024-07-27,Paid,Wire Transfer,7578.2474999999995
7,7,10,182308,0.062,11303.096,2024-01-09,Paid,Wire Transfer,2825.774
8,8,35,77137,0.071,5476.727,2025-04-21,Pending,Direct Deposit,1369.18175
9,9,45,444000,0.136,60384.00000000001,2023-12-26,Disputed,Direct Deposit,15096.000000000002
10,10,33,453420,0.059,26751.78,2025-04-21,Pending,Wire Transfer,6687.945
11,11,38,37057,0.091,3372.187,2024-12-27,Pending,Check,843.04675
12,12,17,212167,0.127,26945.209,2025-03-17,Disputed,Wire Transfer,6736.30225
13,13,25,39419,0.085,3350.6150000000002,2024-10-20,Disputed,Direct Deposit,837.6537500000001
14,14,39,234904,0.081,19027.224000000002,2024-07-08,Disputed,Direct Deposit,4756.8060000000005
15,15,17,342645,0.127,43515.915,2024-12-22,Paid,Check,10878.97875
16,16,15,428639,0.118,50579.401999999995,2024-04-22,Pending,Check,12644.850499999999
17,17,38,64614,0.091,5879.874,2023-12-30,Pending,Check,1469.9685
18,18,8,7584,0.054,409.536,2024-12-08,Disputed,Direct Deposit,102.384
19,19,3,363702,0.104,37825.008,2023-12-11,Disputed,Wire Transfer,9456.252
20,20,27,171596,0.148,25396.208,2025-10-02,Paid,Direct Deposit,6349.052
21,21,12,271602,0.135,36666.270000000004,2024-05-09,Disputed,Check,9166.567500000001
22,22,22,246369,0.113,27839.697,2025-02-03,Paid,Direct Deposit,6959.92425
23,23,18,73079,0.093,6796.347,2024-10-24,Pending,Direct Deposit,1699.08675
