opportunity_id,customer_id,rep_id,product_id,opportunity_name,stage,status,value,probability,expected_value,created_date,close_date,last_activity,competitor,decision_criteria,next_steps
1,3147,11,6,Deal with Garcia-Wells,Negotiation,Closed Lost,233038,83,193421.53999999998,2023-11-30,2024-09-10,2024-02-08,Competitor B,Bring central determine Mrs early lose prepare.,Investment policy while often.
2,4315,33,7,"Deal with Patterson, Taylor and Rowe",Qualification,Closed Won,308685,88,271642.8,2024-12-22,2025-09-24,2024-12-24,Competitor B,Maintain history box season yourself light.,Course customer behind each usually environment heart main.
3,329,6,10,Deal with Sweeney Group,Closed Won,Negotiation,294461,38,111895.18000000001,2024-04-16,2024-06-18,2024-09-02,Competitor C,Work charge decade coach road home rock.,Billion his everyone spring remember consumer fast.
4,1538,7,10,"Deal with Stewart, White and Scott",Qualification,Qualified,75721,86,65120.06,2023-08-11,2024-06-15,2023-09-24,None,Certainly provide media field who.,Relate society water card sense.
5,2337,4,10,Deal with Gutierrez Ltd,Proposal,Closed Lost,379344,67,254160.48,2023-09-30,2024-02-28,2024-09-13,None,Teacher join represent former message paper race stand money despite.,Lose action those trade staff need.
6,2548,17,10,Deal with Li Ltd,Closed Lost,Qualified,496968,42,208726.56,2024-01-09,2024-02-18,2024-08-19,None,You officer writer want option often movie both.,Require somebody strategy director song product.
7,1107,37,2,Deal with Patterson-Sullivan,Proposal,Negotiation,325155,28,91043.40000000001,2023-05-05,2024-03-21,2024-03-04,None,Really think top culture thus.,Cover particularly leader area personal.
8,608,32,12,Deal with Hernandez-Hunter,Proposal,Proposal Sent,469568,22,103304.96,2024-10-02,2025-10-01,2024-12-07,Competitor C,Again probably size make check forward.,Heavy dream whole the walk me.
9,890,46,3,Deal with Robinson Ltd,Closed Won,Open,189431,12,22731.719999999998,2023-06-21,2023-10-24,2024-04-08,Competitor B,Probably while front decide from.,Vote realize peace serve.
10,662,1,1,"Deal with Morris, Shannon and Miller",Closed Won,Closed Won,211480,18,38066.4,2023-03-04,2024-01-04,2024-07-23,Competitor C,Mission police military very reason serious light charge recognize term.,Really sell already consider others candidate.
11,3964,34,5,Deal with Rose-Hammond,Qualification,Proposal Sent,478387,10,47838.700000000004,2024-11-06,2024-12-27,2024-11-13,Competitor A,Thus glass most friend per explain decade four total.,Modern name most happy treat kid sign.
12,3943,13,8,Deal with Bates PLC,Negotiation,Proposal Sent,226490,23,52092.700000000004,2023-05-12,2023-07-24,2024-05-26,Competitor B,Painting easy teacher officer ball my manage happy.,Model author during check century beautiful yeah.
13,3409,39,9,Deal with Rasmussen-Ponce,Qualification,Open,51489,68,35012.520000000004,2023-02-14,2024-01-11,2024-11-25,In-house,Reach enter process front attorney drop defense beyond instead nothing.,Step design contain right position into yourself.
14,4570,43,5,Deal with Lawson-Chaney,Closed Lost,Proposal Sent,224368,40,89747.20000000001,2023-09-06,2024-04-18,2023-12-23,In-house,Wall Republican sometimes friend final other onto financial cost like myself.,Result boy list responsibility after agent lose.
15,3954,21,4,"Deal with Santiago, Garcia and Johnson",Negotiation,Open,166079,51,84700.29000000001,2023-08-02,2023-11-02,2024-07-04,None,Economy upon treatment make else.,Use address tax rise analysis.
16,1466,6,11,Deal with Barton LLC,Prospecting,Qualified,85520,67,57298.4,2023-12-25,2024-08-01,2024-08-25,Competitor A,Marriage year occur since when unit baby.,Compare garden down ago red.
17,128,33,6,"Deal with Roberts, Barber and Hill",Closed Won,Open,71456,30,21436.8,2024-03-31,2025-01-17,2024-05-02,Competitor B,Enter stop since second green arm girl because several raise.,Together bad choose report.
18,2557,10,12,Deal with Hawkins and Sons,Qualification,Open,72293,59,42652.869999999995,2024-02-11,2024-10-18,2024-10-08,None,Leave item Congress fine source method do.,True certainly where international talk especially thank.
19,184,4,1,Deal with Williams-Diaz,Proposal,Negotiation,82190,45,36985.5,2023-03-20,2023-12-11,2024-05-03,None,This enter chance try increase activity memory boy.,Real enjoy box beautiful himself.
20,3800,29,12,Deal with Beck-Allen,Prospecting,Qualified,13669,51,6971.1900000000005,2023-10-31,2024-02-14,2023-11-30,Competitor A,Computer money give matter small area candidate one woman hundred.,Then drug ever movie newspaper while.
21,570,29,12,Deal with Vargas-Stewart,Negotiation,Closed Won,348965,14,48855.100000000006,2023-09-28,2024-01-04,2024-10-15,Competitor A,Message full child child size.,Cover truth cause police hand new politics one.
22,3916,9,9,"Deal with Dodson, Love and Hughes",Qualification,Closed Won,214783,49,105243.67,2024-12-18,2025-08-29,2024-12-25,None,Along decide war bank focus let family.,Clear present outside number PM majority.
23,4646,10,2,Deal with Adams and Sons,Proposal,Proposal Sent,309316,34,105167.44,2024-11-21,2025-05-06,2024-12-28,Competitor B,Alone describe color game work again billion.,Ten surface let region subject.
24,3502,41,4,"Deal with Hall, Ryan and Lamb",Proposal,Open,254796,54,137589.84,2024-04-29,2025-01-28,2024-07-14,None,Own spring food just provide major feel professional.,Themselves even appear station everyone piece.
25,1480,46,11,"Deal with Carlson, Moore and Nunez",Prospecting,Closed Lost,495619,23,113992.37000000001,2023-02-16,2023-04-28,2024-06-20,Competitor C,Sit offer hit agree also leg walk forward prove continue.,Program word knowledge mention heart.
26,189,44,7,"Deal with Carlson, Cook and Romero",Qualification,Closed Won,352409,57,200873.12999999998,2024-06-08,2025-02-27,2024-08-09,None,Food product these form catch.,Site nothing Congress top development walk debate include.
27,4719,43,6,"Deal with Blanchard, Moore and Dougherty",Proposal,Closed Won,409635,58,237588.3,2023-12-28,2024-06-10,2024-08-03,Competitor A,Nothing various throughout nice spend bank.,Much own strategy commercial economy throughout garden.
