csat_id,ticket_id,customer_id,rating,survey_date,comments,would_recommend,response_time_satisfaction,resolution_satisfaction,agent_satisfaction,follow_up_required
1,1,3715,3,2024-08-26,,True,4,5,1,True
2,4,3897,4,2024-07-11,Then interest sound so.,False,2,2,1,False
3,8,1259,2,2024-09-05,,True,1,1,3,False
4,14,313,1,2023-12-02,This protect know determine.,True,2,3,3,False
5,18,1154,2,2023-09-10,,True,3,5,1,False
6,19,1947,5,2023-09-27,,True,3,2,3,True
7,21,3252,3,2024-12-05,,True,1,3,5,False
8,22,1142,1,2024-11-16,,True,4,1,4,False
9,25,59,4,2023-12-15,Run already computer month.,True,3,4,3,False
10,26,2857,5,2024-03-06,,True,4,2,4,False
11,28,2236,3,2024-12-03,Often cell address support section.,True,4,2,3,True
12,30,1102,3,2023-06-24,,True,3,5,1,False
13,36,3686,2,2024-06-24,Wind economic up can artist song to hotel. Protect others art.,True,3,4,2,False
14,37,3542,1,2023-05-12,,True,5,2,5,False
15,40,4723,2,2023-07-14,,False,2,5,4,True
16,44,2788,3,2024-06-08,Best more later drive.,False,4,5,3,True
17,49,2467,4,2023-04-27,,False,3,4,5,False
18,51,4948,4,2023-10-20,,False,2,1,3,True
19,52,1089,3,2024-09-14,Carry side something debate garden send cup brother. Remember meet resource action news.,True,5,5,4,False
20,56,4907,4,2023-06-05,,False,2,5,5,False
21,58,411,3,2023-11-07,,True,3,4,2,False
22,59,1505,5,2023-04-10,,True,1,5,2,False
23,62,2244,1,2024-12-15,,True,1,4,1,True
24,64,4509,3,2024-08-06,Lay call form off then. Management someone enough fly make individual.,True,3,3,4,False
25,65,4911,5,2023-03-03,Total within growth ready eight.,False,1,3,3,True
26,66,749,2,2024-08-13,Bad every west wait adult.,True,2,5,1,False
27,69,4877,4,2024-08-10,,True,3,3,2,False
28,70,1656,5,2023-01-29,,False,3,4,2,False
29,71,1117,2,2024-04-13,,True,5,4,4,False
30,73,4527,1,2023-08-04,Help owner new yet make phone stay. Evening nearly individual beat word nearly something.,True,4,2,2,False
31,74,2079,3,2023-08-12,,True,4,1,4,False
32,75,3013,2,2024-05-24,,True,4,4,2,True
33,77,395,5,2024-07-03,Continue choose pressure center million almost.,True,4,3,3,True
34,78,2856,5,2023-07-22,Lot place enjoy book.,True,4,5,1,False
35,81,998,2,2023-12-27,How catch interesting indicate western choice.,True,5,1,2,False
36,84,2039,4,2023-08-21,,True,1,2,5,False
37,85,2431,4,2023-11-13,,True,2,2,5,False
38,87,152,4,2023-03-07,,False,5,5,1,False
39,88,1869,2,2024-01-27,Change evening power join within.,True,5,1,4,False
40,90,467,5,2024-03-01,,True,3,2,3,False
41,93,129,3,2023-10-30,,True,1,1,2,False
42,96,2125,4,2023-07-21,,True,2,1,4,False
43,99,1337,1,2025-01-23,,True,4,5,4,False
44,100,2220,4,2024-12-20,,True,2,5,5,True
45,101,15,3,2024-08-14,,False,2,2,1,False
46,103,4015,1,2024-11-15,,True,3,2,2,False
47,104,2917,5,2023-12-13,Friend you cell.,False,3,3,1,False
48,112,1368,3,2023-02-19,,True,1,3,5,False
49,116,1306,4,2023-08-08,,True,2,4,3,False
50,117,4834,3,2025-01-03,Reduce certain let hotel include reason.,False,2,2,5,False
51,118,3993,2,2023-06-03,,False,5,3,5,False
52,121,1390,4,2024-11-21,,True,1,4,2,False
53,122,4591,5,2023-11-07,View prevent car claim born nor make capital. Face hundred option draw ready.,False,1,2,1,False
54,130,739,2,2023-03-26,Attorney speak treat policy off else family.,True,1,5,5,False
55,132,3633,5,2024-01-07,,True,5,2,4,False
56,134,1319,5,2024-02-06,,False,5,5,5,False
57,135,4581,5,2023-11-25,,True,2,1,5,False
58,136,3158,1,2023-03-16,,False,4,4,5,False
59,140,3494,1,2024-05-12,Have property find cultural power idea.,True,3,3,4,False
60,142,2157,3,2024-05-24,,False,4,5,1,False
61,145,3427,1,2023-07-15,,True,2,4,5,False
62,146,3881,4,2023-11-04,Quite effort well lawyer campaign general.,True,4,3,5,False
63,147,3537,2,2023-08-17,You two sister medical type gun.,False,3,5,1,False
64,148,4534,3,2023-10-22,,False,4,2,2,False
65,154,4035,2,2023-09-09,,True,1,4,2,True
66,155,1625,1,2023-07-19,,True,4,3,3,False
67,156,2490,2,2023-01-31,,True,1,1,2,True
68,157,3257,5,2023-07-01,Study customer clear back stay.,True,1,2,5,False
69,159,2134,5,2024-01-15,,False,3,2,4,False
70,161,354,2,2024-06-25,Sing let represent medical which allow student. Those song society city center write physical.,True,2,1,4,False
71,162,4340,1,2023-12-02,,True,5,5,2,False
72,164,2642,1,2024-03-25,,False,4,4,4,False
73,166,3915,2,2025-01-16,Anyone special management compare head.,True,3,4,1,False
74,168,2063,5,2023-09-06,,False,2,5,5,False
75,170,1520,4,2024-09-13,Out control try. Whole probably pretty contain laugh card manager.,True,2,1,3,False
