escalation_id,ticket_id,from_agent_id,to_agent_id,escalation_reason,escalation_date,escalation_level,resolution_time_hours,is_resolved,notes
1,7,5.0,17,,2023-11-29,1,7,True,Outside study make reduce consider.
2,14,46.0,4,,2023-12-24,1,42,True,Scientist compare maybe simple nature beyond program seek.
3,17,,16,,2023-11-16,3,26,True,Yet old dinner believe keep various space manager production.
4,18,,22,Complex Technical Issue,2023-10-27,1,18,True,Land fire might either church usually wonder plant.
5,29,,46,,2024-08-09,1,28,True,Exist put do always student organization next bank tough.
6,32,36.0,2,,2024-02-04,1,15,True,So protect do government several fast wrong mean game.
7,34,33.0,43,,2023-07-08,1,5,False,Spend very need century listen soon in edge.
8,43,50.0,34,,2023-09-23,3,4,True,Middle guy go available too down debate.
9,46,35.0,46,,2024-07-24,2,10,True,Relate population production every detail.
10,71,47.0,4,,2024-09-03,3,41,True,Interview nothing force most because.
11,79,33.0,26,,2024-04-04,1,4,True,Save school more fish tell it few cause natural in.
12,80,,12,,2024-07-06,1,20,True,Anyone production experience couple among think now over stay financial.
13,82,24.0,2,Complex Technical Issue,2024-05-05,3,25,False,Strategy country big focus.
14,83,6.0,45,,2023-04-16,2,19,True,Watch discussion trouble list forward.
15,91,22.0,11,Security Concern,2023-12-21,3,21,True,For machine almost enough political.
16,92,22.0,21,,2024-03-26,1,22,True,A produce radio time heavy many.
17,93,15.0,7,,2024-04-24,1,3,True,Take goal nor different necessary image.
18,94,22.0,13,,2024-10-21,1,17,True,Write type space may know economic work show simple bad.
19,106,20.0,15,,2024-12-26,1,17,False,Her per rather note type.
20,109,19.0,36,,2023-05-23,1,20,True,No for clear respond nice home property.
21,110,42.0,27,,2024-12-20,3,11,True,Conference listen unit plant head public second office.
22,121,14.0,15,,2024-11-28,3,45,False,Measure listen stuff recently condition special.
23,126,14.0,9,,2023-12-28,2,1,True,Really citizen this itself use.
24,132,14.0,31,,2024-03-17,1,17,True,Wall figure reveal build.
25,144,44.0,8,,2024-05-03,1,6,True,Color thus artist wide need instead.
26,147,15.0,17,,2023-10-14,2,28,True,Control physical happen help kid child several send debate huge.
27,151,27.0,27,Complex Technical Issue,2023-06-09,1,7,False,Part decision stop these old.
28,155,4.0,3,,2023-10-30,3,36,False,Meet end American this citizen arrive save lose type.
29,158,23.0,48,,2024-07-11,2,7,False,Under daughter when level name everybody production cover hospital.
30,166,50.0,27,,2024-12-24,1,35,True,Each against light business way challenge heart door religious.
31,170,19.0,44,,2024-09-12,3,37,True,Trip soldier mean consumer hard particularly clearly foreign attorney later protect.
32,171,30.0,50,,2024-06-27,3,47,True,Painting marriage development without pull media total.
33,178,45.0,37,,2023-12-13,1,1,True,Test plant partner through politics growth into behavior.
34,179,45.0,47,,2024-01-19,3,26,True,Rate get situation democratic card.
35,195,27.0,10,,2024-08-20,1,47,True,Soon through consumer education item affect its top.
36,203,5.0,48,,2024-04-04,3,39,True,Large tonight produce visit method paper receive because.
37,205,,50,,2024-09-08,3,33,True,Serve baby security tax court story produce choose respond must.
38,209,35.0,33,,2024-06-28,3,3,True,Morning hold table Congress between worry feel level.
39,215,44.0,18,,2024-08-30,3,3,True,Occur can through expert accept as recognize beyond.
40,220,25.0,24,,2024-06-09,2,40,False,Section result today piece international along.
41,224,31.0,39,,2023-03-25,3,11,True,Inside never sign ball shake Congress pull process work.
42,227,,42,,2024-02-14,1,47,True,Difference hold research discuss sell Republican contain claim.
43,228,48.0,39,,2024-09-06,1,21,True,Say technology left truth woman visit positive follow.
44,232,,44,,2024-12-20,3,37,True,Establish police security including care develop week whole.
45,233,5.0,32,,2023-10-08,3,4,True,Heavy personal side foreign and father this like space sign.
46,236,18.0,29,,2024-03-26,2,6,False,Over keep interesting next good.
47,244,,39,,2024-08-25,1,18,True,Authority clearly sometimes author leader.
48,247,36.0,37,,2024-05-29,3,4,False,Current lead heavy black go three ago often bit arrive heavy.
49,250,19.0,22,,2024-08-06,3,42,True,Modern role consumer section bag condition challenge weight.
50,259,25.0,1,,2023-07-04,3,18,True,Room population American edge election go think interest herself big.
51,280,29.0,21,,2024-08-16,3,37,True,Nature recognize speak project he material letter follow.
52,285,27.0,42,,2024-07-03,3,3,True,Forward suffer owner war long.
53,290,,32,,2024-05-20,3,34,False,Know five card down size would hour word.
54,295,37.0,9,SLA Breach Risk,2024-04-24,1,9,True,Perhaps hand determine firm determine turn especially bring.
55,303,,44,,2024-03-23,3,37,True,Law statement science yard rich wear.
56,314,,43,,2024-12-14,2,39,True,Share security heart art score land.
57,316,,26,,2024-04-22,2,38,True,Tv century pay discuss recognize so.
58,319,34.0,43,,2024-07-13,1,28,True,Avoid test quality amount over throughout present whose.
59,325,22.0,12,,2024-09-18,1,27,True,House series wish area much seek program.
60,335,15.0,4,,2024-01-22,3,48,False,Give four discuss set responsibility.
61,343,46.0,42,,2024-10-03,3,3,False,Drive event between save fast student identify.
62,368,,9,Customer Dissatisfaction,2023-09-02,2,4,True,Write positive response positive cost which.
63,373,16.0,3,,2024-04-24,3,3,True,Manager expert suddenly general book great not at technology item.
64,382,42.0,42,,2024-06-05,3,26,True,Must strong above more on especially attack film.
65,389,26.0,29,,2024-04-12,2,46,True,Road onto hard grow point.
66,392,8.0,35,,2024-08-28,3,29,True,Play buy federal benefit boy option ago coach statement recognize.
67,393,28.0,14,,2023-07-02,1,25,True,Fear occur cut cover free measure buy take.
68,396,29.0,21,Manager Required,2024-11-20,3,11,True,Discuss party word section training lot notice fall.
69,409,38.0,21,,2024-10-20,1,32,True,Technology guy rate first hold rather someone item or.
70,414,5.0,44,,2023-05-19,1,41,True,Argue water occur avoid ask these surface.
71,418,4.0,14,,2024-03-24,3,46,True,Total player life fight clearly meet activity expert bed.
72,419,5.0,40,,2024-09-19,2,31,True,Doctor whole particularly police these enter soldier hit career stay.
73,425,,23,,2024-04-19,2,19,True,Value food serve society will night laugh down.
74,426,24.0,9,,2023-04-14,2,8,True,Sense try director into budget win.
75,428,,36,,2023-04-29,2,16,True,Common Mrs move your behind defense move music.
76,444,29.0,31,,2023-11-06,1,25,True,Only I analysis hot year sense say usually easy key.
77,463,46.0,35,,2024-03-21,3,11,True,Risk not beautiful late wife.
78,469,29.0,49,,2023-11-25,1,4,True,Might air indeed imagine focus power.
79,470,30.0,20,,2023-11-15,1,15,True,Smile approach life report man able kid close.
80,478,7.0,21,,2024-01-30,2,40,True,Perhaps room interesting give learn smile fill job.
81,480,27.0,30,,2024-11-16,1,21,True,Notice answer sure cell both budget.
82,488,38.0,17,,2023-05-25,2,46,True,Ever management history camera pass notice key full.
83,494,36.0,46,Security Concern,2024-04-24,3,43,True,Foot father participant black speech box member special.
84,500,,46,,2023-05-23,2,7,True,Election safe expert rich recognize.
85,519,38.0,32,,2024-05-31,1,48,True,Check quickly Congress him represent him well area down second loss.
86,526,29.0,16,,2024-01-14,2,47,False,Chance ahead their whose join.
87,528,17.0,36,,2024-05-28,2,38,True,Car in win better then picture.
88,530,48.0,39,,2023-12-17,3,41,False,Word size those only tough agreement manager team bad while.
89,551,45.0,5,,2024-01-12,2,19,True,Necessary whole every husband like nation learn next.
90,555,43.0,2,,2024-01-18,3,46,True,Response second move subject add develop traditional seat could.
91,568,50.0,41,,2024-11-05,3,35,True,Worry type issue day mind.
92,569,1.0,24,,2023-08-27,2,34,True,Instead thank practice hour those place.
93,575,21.0,44,SLA Breach Risk,2023-07-16,3,22,False,Camera second resource drug us peace.
94,581,16.0,18,,2023-10-02,3,29,True,Safe affect should fight news to.
95,593,50.0,10,,2023-05-24,2,36,False,Though few significant message true ok dinner price education conference.
96,596,8.0,19,SLA Breach Risk,2024-04-01,3,20,True,Suggest send growth least store several agree ball.
97,600,21.0,5,Security Concern,2023-06-27,2,3,True,Foreign room under daughter.
98,601,33.0,31,,2024-11-05,1,15,True,Option keep factor performance yourself body.
