violation_id,ticket_id,violation_type,sla_hours,actual_hours,violation_date,severity,impact,action_taken
1,6,Response Time,8,24.0,2024-10-21,Minor,Low,Escalated
2,10,Response Time,8,24.0,2024-11-02,Minor,High,None
3,13,Response Time,8,24.0,2023-05-15,Major,High,Manager Notified
4,18,Response Time,2,24.0,2023-08-29,Major,High,Process Review
5,21,Response Time,2,24.0,2024-11-03,Critical,Medium,Escalated
6,32,Response Time,2,24.0,2023-11-07,Critical,Low,None
7,41,Response Time,2,48.0,2023-04-08,Critical,Low,None
8,43,Response Time,2,24.0,2023-04-11,Major,High,Manager Notified
9,48,Response Time,8,24.0,2023-07-16,Critical,High,Manager Notified
10,50,Response Time,2,24.0,2023-12-31,Critical,Medium,None
11,51,Response Time,2,24.0,2023-09-30,Major,High,None
12,55,Response Time,2,24.0,2023-03-01,Critical,Medium,Process Review
13,73,Response Time,8,24.0,2023-07-31,Minor,Low,Escalated
14,75,Response Time,2,24.0,2024-05-01,Minor,High,Process Review
15,79,Response Time,2,24.0,2024-04-01,Major,Medium,Escalated
16,81,Response Time,8,24.0,2023-12-16,Critical,High,Process Review
17,82,Response Time,2,24.0,2024-04-05,Minor,Medium,None
18,93,Response Time,8,24.0,2023-09-27,Critical,Medium,Manager Notified
19,102,Response Time,8,24.0,2023-08-08,Major,High,Process Review
20,114,Response Time,8,24.0,2023-04-08,Critical,High,None
21,123,Response Time,8,24.0,2024-09-21,Minor,High,Process Review
22,125,Response Time,2,24.0,2023-07-12,Minor,High,None
23,135,Response Time,2,24.0,2023-10-30,Minor,Low,Escalated
24,138,Response Time,2,24.0,2023-09-26,Major,Medium,Manager Notified
25,145,Response Time,8,24.0,2023-06-18,Minor,Low,None
26,148,Response Time,2,24.0,2023-09-18,Critical,Medium,Manager Notified
27,174,Response Time,8,24.0,2023-01-22,Major,Low,Manager Notified
28,177,Response Time,2,24.0,2024-04-14,Major,Medium,Manager Notified
29,181,Response Time,2,24.0,2023-08-13,Major,Medium,Manager Notified
30,185,Response Time,2,24.0,2024-07-22,Major,High,None
31,191,Response Time,8,24.0,2024-12-11,Minor,High,None
32,194,Response Time,2,24.0,2024-04-28,Minor,Low,Manager Notified
33,197,Response Time,2,48.0,2024-12-04,Minor,High,Escalated
34,214,Response Time,8,24.0,2023-02-02,Major,Low,None
35,219,Response Time,8,24.0,2024-10-08,Critical,Medium,None
36,221,Response Time,8,24.0,2023-12-25,Critical,High,Process Review
37,222,Response Time,8,24.0,2023-05-23,Critical,High,Escalated
38,226,Response Time,8,24.0,2023-09-14,Critical,Low,Manager Notified
39,243,Response Time,8,24.0,2023-05-21,Critical,Medium,None
40,245,Response Time,8,24.0,2024-11-22,Major,High,None
41,246,Response Time,8,24.0,2023-10-22,Minor,Medium,Process Review
42,250,Response Time,8,24.0,2024-07-16,Minor,High,Manager Notified
43,254,Response Time,8,24.0,2024-06-12,Critical,Low,None
44,257,Response Time,8,24.0,2024-03-26,Critical,High,Escalated
45,260,Response Time,2,24.0,2023-10-12,Major,High,Escalated
46,263,Response Time,2,24.0,2024-01-21,Minor,Medium,None
47,268,Response Time,2,24.0,2023-06-02,Minor,Low,None
48,273,Response Time,2,24.0,2024-10-18,Minor,Medium,Escalated
49,278,Response Time,2,24.0,2024-08-29,Minor,Medium,Process Review
50,279,Response Time,8,24.0,2023-09-16,Minor,Low,Process Review
51,283,Response Time,8,24.0,2024-11-17,Minor,Low,Escalated
52,284,Response Time,2,24.0,2023-06-19,Critical,Medium,Process Review
53,286,Response Time,8,24.0,2023-09-04,Major,Low,Escalated
54,289,Response Time,2,24.0,2024-02-09,Minor,Medium,Process Review
55,300,Response Time,8,24.0,2023-08-12,Critical,High,Manager Notified
56,322,Response Time,2,24.0,2023-01-20,Critical,Low,Process Review
57,323,Response Time,2,24.0,2024-05-01,Major,Medium,Manager Notified
58,327,Response Time,2,24.0,2023-05-18,Critical,High,Escalated
59,329,Response Time,8,24.0,2023-06-09,Critical,Medium,Manager Notified
60,342,Response Time,8,24.0,2023-05-26,Major,Low,None
61,347,Response Time,8,24.0,2023-11-03,Major,Low,Escalated
62,349,Response Time,8,24.0,2024-05-13,Minor,High,Escalated
63,351,Response Time,24,48.0,2023-06-30,Major,High,None
64,358,Response Time,8,24.0,2024-08-09,Critical,Medium,Escalated
65,364,Response Time,2,24.0,2024-02-08,Major,Low,None
66,372,Response Time,2,24.0,2023-08-02,Minor,Low,None
67,375,Response Time,8,24.0,2023-02-07,Minor,High,Manager Notified
68,390,Response Time,2,24.0,2024-04-10,Major,Medium,Manager Notified
69,391,Response Time,8,24.0,2023-12-27,Major,High,Process Review
70,393,Response Time,8,24.0,2023-05-18,Major,Medium,Process Review
71,404,Response Time,8,24.0,2023-04-04,Major,High,Manager Notified
72,419,Response Time,8,24.0,2024-09-13,Minor,Medium,Process Review
73,421,Response Time,2,24.0,2024-12-15,Minor,High,Manager Notified
74,422,Response Time,8,24.0,2023-11-15,Critical,Medium,Manager Notified
75,423,Response Time,2,24.0,2024-01-03,Major,Low,Process Review
76,431,Response Time,8,48.0,2024-12-23,Minor,Medium,None
77,432,Response Time,8,24.0,2023-08-04,Critical,High,None
78,447,Response Time,2,24.0,2023-04-08,Major,High,Escalated
79,448,Response Time,2,24.0,2023-08-18,Major,High,Escalated
80,451,Response Time,2,24.0,2023-02-22,Major,High,Manager Notified
81,453,Response Time,8,24.0,2023-08-11,Critical,Medium,Process Review
82,459,Response Time,8,24.0,2023-02-11,Major,Medium,Manager Notified
83,462,Response Time,8,24.0,2023-04-19,Critical,Low,Manager Notified
84,464,Response Time,2,24.0,2024-08-21,Minor,Medium,None
