ticket_id,customer_id,assigned_agent_id,product_id,category_id,priority_id,status_id,subject,description,created_date,resolved_date,last_updated,first_response_date,resolution_time_hours,response_time_hours,customer_satisfaction,is_escalated,escalation_reason,tags,source
1,3715,18.0,5,2,3,7,Provide become worry social positive teach tonight today use.,Perhaps offer fact. Fall his guess feel.,2024-08-15,2024-08-22,2024-09-09,,168.0,,5.0,False,,"meeting, place",Chat
2,1281,34.0,1,6,4,4,Hold note new father model two care give.,Film else offer from describe everyone. Environmental least religious clear pull reflect. Different million day very positive student maybe.,2024-10-12,2024-11-01,2024-11-15,2024-10-12,480.0,0.0,,False,,"special, white",Portal
3,4826,44.0,1,4,3,4,Image success tough light sort cause.,Consumer conference look especially bag star. Majority avoid top father among fund listen within.,2024-11-29,2024-12-24,2024-12-19,2024-11-30,600.0,24.0,1.0,False,,"per, them",Chat
4,3897,,8,6,2,3,Station discuss forward economy late director may.,Positive add reality modern. Face about attack discover successful wall low.,2024-06-14,2024-07-08,2024-12-24,2024-06-15,576.0,24.0,,False,,"pattern, us",Social Media
5,2867,18.0,1,2,3,7,Get three play Mr thousand probably task word rate.,Future them bank line something allow. Raise able beautiful. Tell culture claim leave stop.,2023-06-26,2023-07-11,2023-07-01,2023-06-27,360.0,24.0,1.0,False,Vendor Issue,"rate, chance",Email
6,4005,,2,5,4,5,Individual idea ready mind evening again center smile.,Deal both outside term partner claim more. Sea defense toward blue. Republican away face indicate care.,2024-10-20,2024-11-19,2024-12-25,2024-10-21,720.0,24.0,3.0,False,,"any, different",Phone
7,4301,5.0,3,4,4,5,Politics a run effect next society stock serious.,Wide rich actually wife picture fight.,2023-09-11,,2024-04-03,2023-09-11,,0.0,4.0,True,,"film, brother",Chat
8,1259,49.0,7,1,3,6,Professor religious Mr manage in certainly.,Western fill development pattern must movie ok. Join big travel quickly many speech part popular. Point animal hand door seat avoid particularly. Skin option trouble hotel although usually.,2024-08-11,2024-09-01,2024-10-24,,504.0,,1.0,False,,"occur, painting",Email
9,1878,,4,7,5,4,Sit artist interview level.,List start road government method by movement. End say word write on memory newspaper. Try economic great along generation arrive report.,2024-04-14,,2024-12-11,2024-04-14,,0.0,2.0,False,,"there, almost",Phone
10,4240,19.0,6,3,4,3,Computer item choice tax financial process compare score actually administration sister.,Buy seem however. Rather data answer democratic against. Admit development lay.,2024-11-01,2024-11-18,2024-12-07,2024-11-02,408.0,24.0,4.0,False,,"these, movement",Phone
